รหัสวิชา,ชื่อวิชา,หน่วยกิจ
01200101-56,"Innovative Thinking 
การคิดเชิงนวัตกรรม",1(1-0-2)
01204111-56,"Computers and Programming 
คอมพิวเตอร์และการโปรแกรม",3(2-3-6)
01999011-56,"Food for Mankind 
อาหารเพื่อมนุษยชาติ",3(3-0-6)
01999012-56,"Health for Life 
สุขภาพเพื่อชีวิต",3(3-0-6)
01999213-56,"Environment, Technology and Life 
สิ่งแวดล้อม เทคโนโลยีและชีวิต",3(3-0-6)
01999021-56,"Thai Language for Communication 
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6)
01355111-56,"Foundation English I 
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",-
01355112-56,"Foundation English II 
ภาษาอังกฤษพื้นฐาน II",3(3-0-6)
01355113-56,"Foundation English III 
ภาษาอังกฤษพื้นฐาน III",3(3-0-6)
01355xxx-56,กลุ่มวิชาภาษาอังกฤษ,3(3-0-6)
01999041-56,"Economics for Better Living 
เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี",3(3-0-6)
01999141-56,"Man and Society 
มนุษย์กับสังคม",3(3-0-6)
01999031-56,"The Heritage of World Civilizations 
มรดกอารยธรรมโลก",3(3-0-6)
01999032-56,"Thai Studies 
ไทยศึกษา",3(3-0-6)
01999033-56,"Arts of Living 
ศิลปะการดำเนินชีวิต",3(3-0-6)
01175xxx-56,กิจกรรมพลศึกษา,1(0-2-1)
01208111-56,"Engineering Drawing 
การเขียนแบบวิศวกรรม",3(2-3-6)
01213211-56,"Materials Science for Engineers 
วัสดุศาสตร์สำหรับวิศวกร",3(3-0-6)
01403114-56,"Laboratory in Fundamental of General Chemistry 
ปฏิบัติการหลักมูลเคมีทั่วไป",1(0-3-2)
01403117-56,"Fundamental of General Chemistry 
หลักมูลเคมีทั่วไป",3(3-0-6)
01417167-56,"Engineering Mathematics I 
คณิตศาสตร์วิศวกรรม I",3(3-0-6)
01417168-56,"Engineering Mathematics II 
คณิตศาสตร์วิศวกรรม II",3(3-0-6)
01417267-56,"Engineering Mathematics III 
คณิตศาสตร์วิศวกรรม III",3(3-0-6)
01420111-56,"General Physics I 
ฟิสิกส์ทั่วไป I",3(3-0-6)
